id,commercial,address,building_type,rooms_count,residents_count,cons_jan,cons_feb,cons_may,cons_apr,cons_mar,cons_jun,cons_jul,cons_aug,cons_sep,cons_oct,cons_nov,cons_dec,area
1398,1,"Краснодарский край, р-н Кореновский, ст. Раздольная, ул Советская, д. 65 ",Частный,3,3,503,704,171,119,719,,,6,5,75,201,10,34.60
1401,1,"Краснодарский край, р-н Анапский, с Супсех, ул Космонавта Комарова, д. 7 ",Частный,4,1,4010,3552,4124,3990,4124,5189,5590,5695,4497,3880,4010,1557,201.30
1411,1,"Краснодарский край, р-н Тимашевский, п Комсомольский, ул Мира, д. 61 ",Прочий,,,,,,1600,4910,3531,2585,4798,4216,,,,
1415,0,"Краснодарский край, х Ленина, ул Прохладная, д. 191 ",Частный,5,5,8140,7520,5963,1546,5835,904,950,830,504,4671,5063,692,388.00
1422,0,"Краснодарский край, р-н Крыловский, ст-ца Крыловская, ул Первомайская, д. 16 А",Частный,3,4,473,471,484,451,260,64,29,60,46,364,434,121,145.00
1427,1,"Краснодарский край, р-н Тихорецкий, ст-ца Новорождественская, ул Крупская, д. 72 2",Прочий,,,1887,2161,2172,3119,3867,4340,5010,4883,4533,3086,2936,3432,1074.00
1433,1,"Краснодарский край, р-н Тимашевский, ст-ца Медведовская, ул Айвазяна, д. 55 а",Прочий,,,1550,1321,1413,1451,2090,2791,3428,2976,2060,1668,1364,2488,
1434,0,"Краснодарский край, р-н Ейский, п Морской, ул Центральная, д. 228 ",Частный,1,,554,683,484,572,640,521,527,442,458,680,677,494,
1446,0,"Республика Адыгея, р-н Тахтамукайский, п. Новая Адыгея, ул Тургеневское шоссе, д. 10 к. 1, кв. 81 ",Многоквартирный,1,1,186,168,186,180,186,,180,186,180,180,186,186,44.30
1448,1,"Краснодарский край, р-н Тимашевский, х Ленинский, ул Центральная, д. 53 а",Прочий,,,13100,7600,6500,9400,7050,9200,11400,12100,3900,6600,4250,4750,
1451,1,"Краснодарский край, р-н Анапский, с Сукко, ул Центральная, д. 2 р",Прочий,,,25800,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,
1456,0,"Краснодарский край, р-н Тбилисский, п Октябрьский, ул Радио, д. 106 ",Прочий,,,6791,2959,1,,3256,1796,4061,4086,1938,2583,6150,1801,3223.00
1460,0,"Республика Адыгея, р-н Теучежский, пгт Тлюстенхабль, пер Кубанский, д. 14 ",Прочий,,,35796,22604,,1,0,0,,0,,0,0,0,100.00
1463,0,"Республика Адыгея, р-н Тахтамукайский, тер. СНТ Здоровье, ул 6-я, д. 126 ",Дача,1,,6270,5850,6270,4590,6192,6810,6743,8850,450,5640,6780,10170,512.00
1464,0,"Краснодарский край, р-н Гулькевичский, х Машевский, ул Подстанция, д. 2 , кв. 2 ",Частный,2,1,9242,12536,11032,12115,12204,12357,13043,12591,12480,11304,14914,11330,56.00
1465,0,"Краснодарский край, ДНТ Рублевский 2, ул Центральная, д. 19 ",Частный,6,1,6691,7214,5273,4933,5098,1530,1991,1934,1718,3801,2462,1803,561.00
1469,0,"Краснодарский край, р-н Тбилисский, х Еремин, ул Светлая, д. 194 ",Частный,4,6,5282,5185,3712,1254,3832,1304,892,763,530,,6322,531,235.00
1470,0,"Краснодарский край, р-н Белореченский, п Родники, ул Грушевая, д. 51 ",Частный,2,3,1049,947,2590,1350,2551,738,992,1261,539,2013,1970,848,66.60
1473,1,"Краснодарский край, тер. ДНТ Магистраль, ул 9-я Тихая, д. 64 ",Прочий,1,,28,29,42,42,43,31,32,32,,28,28,,
1474,0,"Республика Адыгея, р-н Тахтамукайский, аул Тахтамукай, ул Темрюкская, д. 10 ",Частный,1,,2143,2542,2144,1359,1919,1459,2335,1746,1485,1052,1159,704,
1480,0,"Краснодарский край, р-н Тбилисский, ст-ца Тбилисская, ул Розовая, д. 4 Ж",Частный,4,4,2198,2325,7961,2873,4236,1305,1256,875,1640,3440,4083,1677,130.80
1481,1,"Краснодарский край, ст-ца Старокорсунская, ул Краснопартизанская, д. 0 ",Прочий,1,,4473,6172,5339,4500,5000,7300,7000,6000,9000,7300,5950,7000,
1482,0,"Республика Адыгея, р-н Майкопский, п Тульский, ул Гаражная, д. 23 ",Прочий,,,,1694,1838,1612,1146,3738,3862,3862,3738,2973,1536,5271,
1490,0,"Краснодарский край, х Ленина, ул Счастливая, д. 24 ",Частный,4,1,399,172,291,199,266,479,470,663,251,194,218,114,616.00
1492,1,"Краснодарский край, р-н Брюховецкий, х Чкалова, ул Высоцкого, д. 2 ",Частный,1,,50,20,20,100,100,100,100,500,500,39,17,183,
1493,1,"Краснодарский край, р-н Курганинский, п Октябрьский, ул Октябрьская, д. 28 ",Частный,1,1,1000,1000,1,999,1500,4,,396,200,200,200,200,
1497,1,"Краснодарский край, р-н Мостовский, пгт Мостовской, ул Колхозная, д. 37 1",Частный,1,1,3484,2824,3035,3597,2664,3874,3270,3714,3124,2981,2923,2216,
1498,1,"Краснодарский край, р-н Тимашевский, ст-ца Медведовская, ул Мира, д. 33 а",Прочий,,,1845,2037,1908,2034,2771,3905,4012,5087,3615,2501,2091,2500,
1499,1,"Краснодарский край, г Сочи, с Эстосадок, пер Радужный, д. 0 участок 0",Частный,1,1,2273,2260,1661,1227,1263,945,1462,2324,1254,1227,868,1292,2400.00
1501,0,"Краснодарский край, г Сочи, р-н Адлерский, ул Худякова, д. 7 к. 2, кв. 402 ",Многоквартирный,3,2,146,135,104,96,121,84,158,105,123,130,121,108,75.90
1502,0,"Краснодарский край, р-н Тбилисский, ст-ца Тбилисская, ул Самарская, д. 17 ",Частный,,1,4236,895,2612,1192,1492,150,653,162,364,571,216,899,
1503,0,"Республика Адыгея, р-н Теучежский, с/п Вочепшийское, д. 32 а",Прочий,,,5394,294,391,9774,5662,3414,4974,12114,5454,9234,10074,5274,36.70
1504,0,"Краснодарский край, р-н Усть-Лабинский, ст-ца Кирпильская, ул Кутузова, д. 9 ",Частный,,1,,,,6690,1347,2910,,3303,8970,,,4230,
1505,1,"Краснодарский край, р-н Крыловский, п Ключевой, ул Набережная, д. 7 ",Частный,1,1,1692,1968,823,851,530,2458,3157,4668,3781,771,2076,1418,
1507,0,"Краснодарский край, г Новороссийск, ст-ца Раевская, пер Осенний, д. 1 ",Частный,4,4,2818,1037,2661,1633,410,2365,326,201,384,1414,2218,509,
1509,1,"Краснодарский край, р-н Усть-Лабинский, х Братский, ул Ленина, д. 49 А",Частный,1,1,3756,1580,3191,2931,793,721,680,581,426,440,1206,2377,
1511,0,"Краснодарский край, р-н Анапский, с Супсех, ул Орловская, д. 12 ",Прочий,1,,1081,962,694,372,649,174,162,170,,224,76,126,
1519,1,"Краснодарский край, ст-ца Старокорсунская, тер Участок, д. 0 ",Прочий,1,,2171,3022,2847,2774,2348,2933,3571,3876,3624,2735,2396,2238,
1522,1,"Краснодарский край, р-н Центральный, г Сочи, снт Подснежник, д. 1 участок  Подснежник",Частный,1,1,2716,2396,818,395,465,1540,2105,4601,5992,1795,1235,1645,790.00
1523,1,"Краснодарский край, р-н Туапсинский, пгт Новомихайловский, ул Мостовая, д. 27 неж",Прочий,,,137,13,9,19,26,153,1361,1533,515,192,257,55,675.00
1527,1,"Краснодарский край, р-н Калининский, х Журавлевка, ул Табачная, д. 19 ",Частный,,,8788,10621,8001,4421,1139,1141,1112,1124,1082,5461,6917,2074,
1528,0,"Краснодарский край, р-н Красноармейский, ст-ца Марьянская, пер Красный, д. 36 ",Прочий,,,4548,7914,6144,2265,6677,1811,1871,1871,1811,1569,11437,1871,1000.00
1529,0,"Краснодарский край, р-н Центральный, г Сочи, ул Санаторная, д. 0 Б Н участок с т Стрелка",Частный,1,1,752,752,502,502,593,602,1455,1605,1505,602,401,953,1939.00
1530,1,"Краснодарский край, р-н Анапский, село Витязево, ул Горького, д. 93 ",Прочий,,,17190,35880,43950,,41100,16140,18810,24930,,,18510,32880,1045.80
1531,0,"Краснодарский край, г Сочи, с Измайловка, с/т Заполярье, д. 0 з у №157",Частный,1,1,13,0,,0,0,,,,,97,97,97,559.00
1532,0,"Краснодарский край, г Сочи, с Ахштырь, ул Кропоткинская, д. 0 участок 6",Частный,1,1,212,242,151,181,185,212,242,272,181,121,121,181,38.80
1536,0,"Краснодарский край, р-н Кавказский, ст-ца Кавказская, ул Новоселов, д. 88 ",Частный,1,1,3929,4025,3043,1823,3131,769,1155,1048,918,1884,2534,791,
1537,1,"Краснодарский край, р-н Анапский, ст.Благовещенская, пер.Песчаный, д. 10 ",Прочий,,,378,378,381,845,861,845,378,378,378,378,378,378,
1538,0,"Краснодарский край, р-н Центральный, г Сочи, ул Высокогорная, д. 48 Б,",Частный,1,1,34822,27431,12635,12288,11237,10366,13701,13550,9584,14782,14301,7767,1080.00
1539,0,"Краснодарский край, р-н Отрадненский, ст-ца Отрадная, ул Красная, д. 176 ",Частный,3,3,4134,3624,3644,3728,3877,55,3923,4421,20,4134,3575,2973,53.40
1540,1,"Краснодарский край, р-н Тимашевский, п Советский, ул Ленина, д. 17 б",Прочий,,,9360,9400,28200,7520,7520,0,0,10720,23640,,18800,31200,
1541,0,"Краснодарский край, г Сочи, с Верховское, ул Верховская, д. 0 з у №3",Частный,1,,31850,27897,23678,97,23640,14460,17100,5460,5820,13702,14356,3990,606.00
1542,0,"Краснодарский край, р-н Усть-Лабинский, ст-ца Кирпильская, ул Мира, д. 27 ",Частный,,,390,418,388,620,709,2694,2954,2896,2136,417,456,1028,
1544,1,"Краснодарский край, г Сочи, с Веселое, ул Мира, д. 122 6",Частный,1,1,3347,4323,2919,2102,1552,1262,1529,2231,1595,1710,2453,1312,15.00
1547,0,"Краснодарский край, г Сочи, п Дубравный, ул Пробковая, д. 20 Б",Частный,1,1,18277,13555,12038,11351,12583,6349,6712,6898,6537,9812,6478,5826,1029.00
1550,1,"Краснодарский край, р-н Анапский, село Витязево, ул Батарейная, д. 33 ",Частный,4,1,0,0,,620,2546,3745,6013,8615,4064,0,0,15,566.30
1551,1,"Краснодарский край, п Индустриальный, ул Гордая, д. 13 ",Частный,2,1,200,2880,13640,13840,7120,19920,21720,23920,23880,16320,24640,17720,48.90
1552,0,"Краснодарский край, р-н Хостинский, г Сочи, ул Дмитриевой, д. 6 участок",Частный,1,1,4481,3719,3239,3846,3540,3821,5084,4494,4548,3182,2074,3195,814.00
1554,0,"Краснодарский край, г Сочи, с Верхневеселое, ул Блинова, д. 0 ",Частный,1,1,11527,12453,10597,6072,4942,5144,7348,8326,6695,6715,3650,6044,71.90
1555,1,"Краснодарский край, р-н Каневской, ст-ца Каневская, ул Таманская, д. 9 ",Частный,,1,602,652,702,702,602,702,802,5895,5407,652,652,652,
1556,0,"Краснодарский край, р-н Тимашевский, х Садовый, ул Новая, д. 16 ",Частный,3,5,590,559,513,686,617,638,1154,1399,1214,1314,478,650,92.10
1557,0,"Краснодарский край, р-н Калининский, х Васильевка, д. 39 ",Частный,3,4,564,498,433,421,458,716,716,587,384,406,328,379,
1558,0,"Краснодарский край, г Сочи, ПОС. ЛАЗАРЕВСКОЕ, пер Павлова, д. 0 ",Прочий,,,19200,21400,16600,16000,15800,14600,18200,19000,13800,13400,14400,11400,1778.40
1559,0,"Краснодарский край, р-н Каневской, ст-ца Каневская, ул Заводская, д. 23 ",Частный,3,3,212,200,197,158,165,189,369,239,366,163,185,94,
1560,0,"Краснодарский край, р-н Тимашевский, ст-ца Днепровская, ул Выгонная, д. 171 ",Частный,4,3,2463,2662,1892,3169,2498,3919,6000,6564,3911,1887,1984,2676,33.90
1562,1,"Краснодарский край, пгт. Сириус, ул Приреченская, д. 2 ",Частный,1,1,2929,3134,2287,1568,1316,1363,2004,1882,1904,2675,3153,5873,85.90
1563,0,"Краснодарский край, р-н Тимашевский, х Ленинский, ул Центральная, д. 194 ",Частный,2,3,7674,7224,2859,3881,2664,7808,9514,9004,7629,7387,6678,6929,59.60
1565,0,"Краснодарский край, р-н Калининский, х Журавлевка, ул Набережная, д. 10 ",Частный,2,1,200,250,270,224,231,172,213,101,200,202,250,250,
1566,1,"Краснодарский край, тер. ДНТ Магистраль, ул 9-я Тихая, д. 116 ",Прочий,1,,7,9,3,3,3,3,7,7,7,8,29,18,
1567,0,"Краснодарский край, р-н Тимашевский, ст-ца Роговская, ул Свободная, д. 12 ",Частный,3,3,2649,2460,3335,3228,3702,1485,5012,5064,4022,4304,3069,3872,39.90
1568,0,"Краснодарский край, р-н Брюховецкий, ст-ца Батуринская, ул Шоссейная, д. 27 ",Частный,4,8,350,467,506,340,335,876,1417,633,835,482,270,1000,58.50
1570,1,"Краснодарский край, р-н Павловский, ст-ца Павловская, ул Молодежная, д. 6 гараж",Гараж,,,2096,935,2642,6839,1836,1836,302,1315,2133,1624,1882,1239,
1571,1,"Краснодарский край, р-н Калининский, ст-ца Старовеличковская, пер Северный, д. 28 ",Частный,2,1,165,124,195,173,173,265,217,85,85,102,230,85,66.70
1574,0,"Краснодарский край, р-н Анапский, х Песчаный, ул Покровская, д. 17 ",Прочий,,,524,471,456,442,476,612,978,926,633,557,440,455,
1575,1,"Краснодарский край, р-н Калининский, ст-ца Калининская, ул Советская, д. 45 ",Частный,4,4,240,240,240,240,240,240,240,240,240,240,240,240,810.00
1578,0,"Краснодарский край, р-н Кореновский, ст. Дядьковская, ул Захарченко, д. 36 ",Частный,3,3,295,264,254,273,253,214,374,459,347,227,214,172,
1581,0,"Краснодарский край, р-н Брюховецкий, ст-ца Брюховецкая, тер.СОСН Бейсужок, д. 29 ",Частный,3,1,,,30,4,220,,,,,,,,
1582,0,"Краснодарский край, р-н Кореновский, пос. Комсомольский, пер Фестивальный, д. 13 , кв. 2 ",Частный,3,3,2032,2955,2487,3657,2725,7828,7450,8329,7838,1714,2542,6571,76.60
1583,0,"Краснодарский край, р-н Курганинский, ст-ца Новоалексеевская, ул Набережная, д. 27 ",Частный,4,3,520,456,530,672,526,395,376,401,319,332,333,282,40.00
1584,0,"Краснодарский край, р-н Темрюкский, ст-ца Старотитаровская, ул Ленина, д. 276 ",Частный,3,1,5242,2180,1797,2198,2703,3748,4725,4490,3913,3520,2013,4390,39.10
1585,1,"Краснодарский край, р-н Брюховецкий, ст-ца Батуринская, ул Октябрьская, д. 75 ",Частный,3,1,400,163,190,458,297,220,244,396,343,216,310,297,
1586,1,"Краснодарский край, р-н Тимашевский, г Тимашевск, ул 70 лет Октября, д. 41 ",Прочий,,,2861,1770,1771,5708,2610,4209,4209,5430,3970,2743,2602,3313,
1587,0,"Краснодарский край, р-н Курганинский, ст-ца Петропавловская, ул Красная, д. 65 ",Частный,1,1,2850,5538,,,2288,456,579,824,247,463,,412,
1589,0,"Краснодарский край, р-н Курганинский, ст-ца Родниковская, ул Октябрьская, д. 36 ",Частный,3,3,997,922,511,527,753,920,902,690,935,773,735,726,39.00
1590,1,"Краснодарский край, р-н Тимашевский, х Танцура Крамаренко, ул Советская, д. 7 ",Прочий,,,3000,4046,1500,1700,2500,2643,1700,10200,3567,,9200,3900,
1591,1,"Краснодарский край, р-н Красноармейский, ст-ца Полтавская, ул Казачья, д. 82 ",Частный,1,,76,155,72,96,79,,,,34,55,155,91,
1592,0,"Краснодарский край, р-н Темрюкский, п Артющенко, ул Курортная, д. 1 ",Частный,,1,8838,4428,6120,7193,6300,,19411,10281,3888,8414,6466,7087,
1593,0,"Краснодарский край, р-н Славянский, х Мостовянский, ул Мостовянская, д. 8 а",Частный,3,1,4886,5683,4870,6666,5305,9946,12362,15200,9083,4969,4760,3614,103.60
1594,0,"Краснодарский край, р-н Приморско-Ахтарский, снт Мичуринец, ул Шоссейная, д. 8 ",Частный,1,3,777,1172,1095,1150,760,600,959,1808,1115,438,1189,1352,49.40
1595,0,"Краснодарский край, р-н Красноармейский, ст-ца Полтавская, ул Маяковского, д. 16 ",Прочий,,,3023,5732,845,2808,2733,1731,2350,3623,3570,2534,1522,1982,600.00
1596,1,"Краснодарский край, ст-ца Пластуновская, ул Красная, д. 58 ",Частный,3,6,444,104,477,223,334,,,,,,637,,140.50
1597,0,"Краснодарский край, р-н Славянский, ст-ца Анастасиевская, ул Красная, д. 1 в",Частный,3,3,2041,2182,2416,2315,2346,575,595,595,575,213,213,2373,171.60
1598,0,"Краснодарский край, р-н Калининский, х Могукоровка, ул Ленина, д. 202 ",Частный,4,2,608,549,525,545,564,566,899,402,589,589,608,608,78.50
1599,0,"Краснодарский край, р-н Красноармейский, ст-ца Ивановская, ул Крайняя, д. 23 ",Частный,2,4,3875,3290,1818,1549,435,429,381,365,502,2285,1636,646,40.00
1600,1,"Краснодарский край, ст-ца Пластуновская, ул Свободы, д. 29 ",Частный,3,3,601,918,651,627,770,628,709,813,686,769,979,605,
1601,0,"Краснодарский край, р-н Темрюкский, ст-ца Голубицкая, ул Зеленая, д. 2 36",Частный,3,3,5694,3434,4561,3547,4144,2355,3779,3153,2075,2937,2038,2315,
1602,0,"Краснодарский край, р-н Калининский, х Ангелинский, ул Заречная, д. 15 ",Частный,4,5,463,437,454,395,426,332,335,339,353,339,381,305,55.00
1603,0,"Краснодарский край, р-н Красноармейский, ст-ца Чебургольская, ул Комсомольская, д. 1 , кв. 12 ",Многоквартирный,3,3,359,6980,183,156,106,108,117,310,55,156,148,64,62.00
1604,0,"Республика Адыгея, р-н Тахтамукайский, тер. СНТ Мелиоратор, ул Алычевая, д. 19 ",Частный,1,5,3480,3025,3349,3241,3349,3592,3699,3699,3319,1804,5675,3613,59.70
1605,1,"Краснодарский край, р-н Темрюкский, ст-ца Тамань, ул Карла Либкнехта, д. 14 А",Частный,15,1,3696,3805,3700,4285,3935,6295,7060,7772,6104,4320,3934,5277,459.10
1606,0,"Краснодарский край, р-н Каневской, ст-ца Новодеревянковская, ул Ленина, д. 5 ",Частный,5,5,4050,3506,3979,3266,3734,1661,2412,2002,1606,3410,3750,1791,66.80
1607,0,"Краснодарский край, р-н Темрюкский, ст-ца Голубицкая, ул Курортная, д. 44 ",Частный,5,4,607,553,1065,1037,757,3572,1338,13078,6428,569,452,1062,1105.10
1608,0,"Республика Адыгея, р-н Тахтамукайский, аул Козет, ул Степная, д. 24 ",Частный,7,5,1230,1496,858,596,964,1115,1575,1917,1214,732,518,1025,275.20
1609,1,"Краснодарский край, ст-ца Старомышастовская, ул Ленина, д. 6 а",Частный,3,1,1041,1979,1339,1701,,1661,29,818,2452,525,1698,525,125.10
1610,0,"Краснодарский край, р-н Курганинский, п Веселый, ул Новая, д. 2 ",Частный,3,2,,,2429,,1160,,22544,,,,3483,996,65.30
1611,0,"Краснодарский край, р-н Темрюкский, ст-ца Старотитаровская, ул Ленина, д. 271 ",Частный,3,1,1780,2048,1711,2444,1939,2535,5209,2689,3810,1550,1647,3389,
1612,0,"Республика Адыгея, р-н Кошехабльский, аул Кошехабль, ул им В.М.Кокова, д. 35 ",Частный,3,3,1108,541,694,827,444,748,874,734,788,835,398,756,
1613,0,"Краснодарский край, р-н Усть-Лабинский, ст-ца Ладожская, ул Мельничная, д. 101 А",Частный,3,1,650,650,550,650,612,950,400,,,500,500,300,120.00
1614,0,"Краснодарский край, р-н Курганинский, с Урмия, ул Магистральная, д. 50 ",Частный,3,5,400,,,2974,784,450,1,1,450,2709,,,38.00
1615,0,"Краснодарский край, р-н Славянский, х Ставки, ул Ставки, д. 1 ",Частный,3,1,9000,4020,2880,2280,4571,5100,8580,7440,8280,4080,,3600,
1617,0,"Краснодарский край, ст-ца Динская, ул Дружбы, д. 75 ",Частный,3,3,1101,310,343,197,328,208,335,340,376,255,4,251,
1618,0,"Краснодарский край, р-н Курганинский, ст-ца Родниковская, ул Курганинская, д. 120 а",Частный,3,3,471,,,1799,466,,1,1,,1059,,,39.00
1619,0,"Краснодарский край, х Осечки, д. 30 1а",Частный,3,1,729,755,780,668,665,484,924,685,491,666,351,540,64.30
1620,0,"Краснодарский край, с Барановка, ул Армянская, д. 49 14",Частный,8,3,897,713,647,725,705,490,582,638,584,618,477,675,190.30
1621,0,"Краснодарский край, ст-ца Новотитаровская, ул Заречная, д. 11 7",Частный,3,1,4017,3311,3175,3053,3220,3740,4744,4303,3070,2596,2230,2477,
1622,1,"Краснодарский край, р-н Красноармейский, ст-ца Новомышастовская, ул Московская, д. 2 А",Прочий,,,2328,2328,2328,2328,92,92,500,500,694,27,,694,1188.00
1623,0,"Краснодарский край, ст-ца Васюринская, ул Луначарского, д. 75 ",Частный,5,2,1760,1240,840,1240,1191,6480,34840,120,8440,1240,760,1120,557.40
1624,0,"Краснодарский край, с Пластунка, ул Леселидзе, д. 60 ",Частный,3,,2897,2672,1926,3443,2511,3243,3556,3606,2354,1897,1372,1606,
1625,1,"Краснодарский край, р-н Центральный, г Сочи, ул Виноградная, д. 166 ",Частный,3,3,392,158,4589,4679,4913,1222,,1,101,183,198,123,26.30
1626,0,"Краснодарский край, р-н Славянский, ст-ца Анастасиевская, туп Короткий, д. 3 ",Частный,2,3,2772,2505,372,1676,1623,2480,2803,2939,2432,2666,2671,3119,
1627,0,"Республика Адыгея, р-н Тахтамукайский, пгт Яблоновский, ул Северная дамба, д. 18 ",Прочий,,,1417,1519,1223,1069,1311,1791,1845,1443,1522,1064,1159,1132,
1628,0,"Краснодарский край, р-н Мостовский, пгт Мостовской, ул Буденного, д. 188 ",Частный,3,3,160,146,119,145,153,,140,140,100,110,,150,
1630,1,"Краснодарский край, р-н Славянский, ст-ца Анастасиевская, ул Красная, д. 3 Л 1",Прочий,,,2100,1557,1557,1557,1557,1557,1557,1558,12473,12474,1985,12473,
1631,0,"Республика Адыгея, р-н Тахтамукайский, п Новый, ул Ленина, д. 11 ",Частный,3,1,1707,1553,1596,1689,1599,2880,5059,4253,2674,1295,1246,1357,305.60
1632,0,"Краснодарский край, р-н Мостовский, пгт Мостовской, ул Буденного, д. 25 ",Частный,2,5,396,335,281,1262,221,269,159,,315,292,300,283,27.40
1633,0,"Краснодарский край, р-н Центральный, г Сочи, пер Юртовский, д. 145 ",Частный,3,1,11921,11401,7281,6841,7081,6001,7081,7121,6921,7281,6801,6841,545.00
1634,1,"Краснодарский край, р-н Темрюкский, п Кучугуры, ул Коммунистическая, д. 20 ",Частный,6,1,446,738,958,618,636,711,1093,1327,460,470,246,373,297.10
1635,0,"Краснодарский край, р-н Усть-Лабинский, п Заречный, ул Центральная, д. 3 ",Частный,5,4,1722,2496,1862,1306,2047,863,944,919,603,1833,1717,634,53.10
1636,0,"Краснодарский край, р-н Лабинский, ст-ца Ахметовская, ул Советская, д. 158 ",Частный,2,1,1307,509,528,145,651,785,242,242,773,2,1,2,53.60
1637,0,"Краснодарский край, р-н Центральный, г Сочи, ул Полтавская, д. 8 .",Частный,3,3,10455,7177,8372,6970,7330,8732,13899,9037,12177,7410,5728,7611,111.70
1638,1,"Краснодарский край, р-н Темрюкский, ст-ца Голубицкая, ул Советская, д. 128 ",Частный,3,1,153,126,130,143,154,618,1545,2029,667,108,136,176,211.00
1639,0,"Краснодарский край, р-н Усть-Лабинский, ст-ца Воронежская, ул Садовая, д. 147 ",Частный,3,3,154,139,154,149,154,33,122,122,118,174,4,490,
1640,1,"Краснодарский край, ст-ца Старокорсунская, ул. АОЗТ Нива-1, д. 2 ",Частный,3,3,4154,1330,1100,5516,1000,1000,184,500,1632,1912,2306,,
1641,0,"Краснодарский край, р-н Центральный, г Сочи, ул Целинная, д. 34 Б",Частный,4,2,538,524,439,505,473,590,740,563,506,369,311,490,125.90
1642,0,"Краснодарский край, р-н Усть-Лабинский, ст-ца Восточная, ул Мира, д. 113 ",Частный,4,4,3277,3294,2514,1088,2533,2034,2817,612,272,2698,1916,437,33.70
